rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
292,0x5027457c50a3b45772bafe70e2e6f05d98514ad4,delegated,0xb14f321f139d2316c75a9584e577c2625c161a2f98d62ad596d884e67c8b8493,49973401,12914.377055,LI.FI diamond,2874,0.0110655736901224
293,0x36bd83ae4a411e5564bcbf5012ff0445f8d5c804,delegated,0x010280b19d838bdbedb70194c50f3a7fe2e04847dcae647980a94bf32cb03776,49973049,233,LI.FI diamond,211,0.000530207189906233
294,0xe18de6510f624d669a13aba3443b1b41384ff7f9,plain,0x3afede7dc880e9f5c012775abe38a8905b6be6a7da910afdd9337cf430efdb9b,49972615,300.540219,LI.FI diamond,96,0.002595519084748994
295,0x03906d9ce98bbbc8b7242ecf9448a4b4d2310705,delegated,0xe3b00ee4523b7dc556356e10f311a1d2518bb5e5b9e1b0207491e6a6babe0a73,49972584,275,LI.FI diamond,566,0.003071497854210143
296,0x1c2433f30612c350eeecaa2e72816d82bfd2192b,delegated,0x784fcc92e435db0eedda48ff5631df480201c8742f1b6a0215166387ef791cb5,49972358,500,LI.FI diamond,71,0.008024873630173348
297,0xe41941683267bde6257e4489819bec75ddbd7aa8,delegated,0x17093c205dac921fa2bf7eabb170435320524fa04b5c25bfd322c26f59b6dff0,49972122,700.023144,LI.FI diamond,560,0.009743986414125676
298,0xda110ca6b85cd99d8dbb4ce6911ff512bd5c2bc7,delegated,0x7c95bdec3355443201225dc4d0cfe7366e84f0f6731b847c94857b237e9c3ec6,49971994,900,LI.FI diamond,557,0.004943480250319745
299,0xb1ea9e4212157939b2d7623ff610279527a7971b,plain,0x01c97a725f784c7b19303c10a3862e9c17d3583a4369f8be033d2c4d3286a75a,49971947,445.33,LI.FI diamond,327,0.000133536004716187
300,0x8a0ddea466615a63e9ff5a83c4598fc5126bd518,delegated,0xf9b493a8c38a05a993b8a2f0392d0f137b6364c70d6328bd08abf49479b7dc76,49971938,760,LI.FI diamond,517,0.003468590027065294
301,0xa1a3a4964eb5b92318c148706caadcaf19e705aa,delegated,0x1eeaeb04976ad883f63493bd6fa35df722c830756332f13f9b84b6d5e52e8b6a,49971844,400,LI.FI diamond,893,0.001435252710745331
302,0x1d6038a425059545996eb14e34cfb8a3b7791ec5,delegated,0xfe2c73408fcfd4f0dff54883faeff0c2fbdf2017322e150e15fb95885de9c280,49971797,751.181925,LI.FI diamond,4087,0.011408984541557803
303,0x220308cc2e3c32d1cb12d6bb290b189413bae0d7,delegated,0x5a3646b781e5ec508c850afd706ae6e5151628272538a01115d126408b34cb98,49971595,1830.847218,LI.FI diamond,52,0.000347655748347999
304,0x7c634af1246eaa472485e44af7e347f18238da63,delegated,0xeaffe7b00e8728ec97e4414434a272a11926100ec4b889fa69028df010425650,49971458,891.210599,LI.FI diamond,743,0.00841000653431099
305,0xca303673a45a527b9d865a27699270a2b10699f5,delegated,0x4d828efd7ac8fc02dfeb494601cdf8c1bcd9c4990dbed9bb895bfb9538ebe629,49970978,679.45,LI.FI diamond,592,0.000893853481717411
306,0x26e8d4904e0784155b0d461ce9f9cda21af897e7,delegated,0xbf3b06d0f29bfac96966faef87473885da81df2afaf0e9fb3fd2e3a85f11b446,49970409,227.293067,LI.FI diamond,11,0.00000219576038986
307,0xa95867b23955f98a3a5774645db2b603baba4003,delegated,0x57ea4b2cc1633f735b3bd7e56a74930b66a97f0256385f5cdf9f0ed8f02513b4,49970381,260.39,LI.FI diamond,1477,0.002451547676458577
308,0x165c2af1e86935e72df935e33fe1d3a9cfdfaad9,delegated,0xddf98cd91020c70d60e75704e8df0cbc3f2c087b5d0be1e2f88b04cb0bae0c18,49970126,233.553012,LI.FI diamond,1670,0.000638971368905218
